
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Mon Jan 27 15:01:37 2014


 1390834902.775716	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.814907	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.854704	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.891234	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.92735	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834902.971128	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834903.012167	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834903.050972	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834903.090407	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834903.12846	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834903.169106	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834903.207892	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
 1390834903.248679	0.000000	STA	v1 	 22.333078	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 3.05	PF 	 10.0	
