
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Tue Jan 28 13:59:36 2014


 1390917583.244105	1.673453	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.293047	1.722394	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.337675	1.767022	ON	v1 	 22.334997	a1 	 0.385817	p1 	 8.617220	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.381242	1.810592	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.425244	1.854592	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.47097	1.900314	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.515399	1.944716	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.560843	1.990189	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.604736	2.034084	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.647464	2.076812	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.690978	2.120326	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.734812	2.164160	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.778039	2.207386	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.820518	2.249867	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.866317	2.295660	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.912746	2.342092	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
 1390917583.955405	2.384749	ON	v1 	 22.168074	a1 	 0.385817	p1 	 8.552818	t 	 -1.000000	OK	PF 	 30.0	
