
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Tue Jan 28 14:01:52 2014


 1390917717.858949	0.147864	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.906221	0.195137	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.951167	0.240083	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917717.997184	0.286100	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.035935	0.324851	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.079921	0.368837	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.12472	0.413635	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.169389	0.458303	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.213386	0.502303	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.257497	0.546413	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.30117	0.590043	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.345668	0.634584	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.39107	0.679986	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.436518	0.725432	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.484895	0.773810	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.528839	0.817755	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.572165	0.861079	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.61607	0.904987	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.657395	0.946310	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.704829	0.993746	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.748911	1.037826	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.791571	1.080486	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.833874	1.122791	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.877718	1.166632	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.922153	1.211068	ON	v1 	 21.848299	a1 	 0.380151	p1 	 8.305661	t 	 -1.000000	OK	PF 	 15.0	
 1390917718.968557	1.257470	ON	v1 	 21.848299	a1 	 0.385817	p1 	 8.429443	t 	 -1.000000	OK	PF 	 15.0	
 1390917719.010052	1.298968	ON	v1 	 21.848299	a1 	 0.385817	p1 	 8.429443	t 	 -1.000000	OK	PF 	 15.0	
 1390917719.055156	1.344072	ON	v1 	 21.848299	a1 	 0.385817	p1 	 8.429443	t 	 -1.000000	OK	PF 	 15.0	
 1390917719.098135	1.387051	ON	v1 	 21.848299	a1 	 0.385817	p1 	 8.429443	t 	 -1.000000	OK	PF 	 15.0	
 1390917719.144396	1.433279	ON	v1 	 21.848299	a1 	 0.385817	p1 	 8.429443	t 	 -1.000000	OK	PF 	 15.0	
 1390917719.18858	1.477495	ON	v1 	 21.848299	a1 	 0.385817	p1 	 8.429443	t 	 -1.000000	OK	PF 	 15.0	
 1390917719.233794	1.522711	ON	v1 	 21.790100	a1 	 0.385817	p1 	 8.406989	t 	 -1.000000	OK	PF 	 15.0	
 1390917719.279858	1.568772	ON	v1 	 21.790100	a1 	 0.385817	p1 	 8.406989	t 	 -1.000000	OK	PF 	 15.0	
 1390917719.321522	1.610438	ON	v1 	 21.790100	a1 	 0.385817	p1 	 8.406989	t 	 -1.000000	OK	PF 	 15.0	
 1390917719.363206	1.652122	ON	v1 	 21.790100	a1 	 0.385817	p1 	 8.406989	t 	 -1.000000	OK	PF 	 15.0	
 1390917719.406196	1.695113	ON	v1 	 21.790100	a1 	 0.385817	p1 	 8.406989	t 	 -1.000000	OK	PF 	 15.0	
